NC_Name,Total Population,White_pop,Black_pop,Ameri_es_pop,Asian_pop,Hawn_pi_pop,Hispanic_pop,Other_pop,Multi_pop,In_Poverty,Owner_occ,Renter_occ,Lat,Long,Column 1,
HARBOR GATEWAY SOUTH NC,"21,296.62",2327.83,1938.14,54.74,4667.47,17.03,,16.15,814.01,"21,044.30",2382.59,4206.63,33.8501° N,118.2991° W,,
HERMON NC,"4,395.45",820.34,229.08,0.2,915.43,0,,0.43,92,"4,377.46",837.87,837.24,34.1039° N,118.1851° W,,
HISTORIC CULTURAL NC,"20,010.32",2656.93,1816.18,36.08,9806.3,86.95,,7.18,258.82,"16,909.32",838.77,6008.04,33.783996864° N,118.254498982° W ,,
HISTORIC HIGHLAND PARK NC,"55,626.43",8113.76,1214.44,51.64,6505.29,26.95,,58.07,818.23,"54,637.80",6913.35,10118.24,34.1119° N,118.1981° W,,
HOLLYWOOD HILLS WEST NC,"38,427.16",27776.86,2022.39,108.93,2393.87,11.74,,56.51,1549.68,"38,195.68",5673.28,16556.61,34.1217° N,118.3466° W,,
HOLLYWOOD STUDIO DISTRICT NC,"28,142.56",5780.05,1291.89,63.27,2448.17,20.45,,91.59,338.62,"28,030.04",768.08,9618.48,34.0950° N,118.3180° W,,
HOLLYWOOD UNITED NC,"20,349.43",13499.24,993.83,192.89,1345.1,0,,54.27,621.15,"20,102.63",3007.29,8112.64,34.1180° N,118.3180° W,,
LA-32 NC,"48,625.63",2902.78,885.47,53.57,5464.74,54.84,,49.32,177.84,"47,274.98",6559.6,6727.25,34.0844° N,118.1751° W,,
LAKE BALBOA NC,"43,219.20",13628.84,2025.3,43.35,3040.6,19.7,,110.63,948.14,"43,104.05",6713.55,7472.35,34.2011° N,118.4988° W,,
LINCOLN HEIGHTS NC,"32,878.24",1355.29,505.45,31.14,7988.73,21.59,,79.96,208.01,"31,567.07",2280.19,6735.33,34.0722° N,118.2123° W,,
LOS FELIZ NC,"34,437.54",22167.11,817.53,32.37,4659.36,0,,195.22,707.24,"34,320.12",4487.48,13024.8,34.1084° N,118.2884° W,,
MACARTHUR PARK NC,"29,877.36",1210.98,1006.45,86.82,5445.66,148.28,,17.33,103.93,"29,556.55",231.36,10335.9,34.0600° N,118.2800° W,,
MAR VISTA CC,"53,974.85",27711.84,2487.66,83.96,9038.26,34.33,,167.37,1951.98,"53,717.19",8326.22,14662.38,34.0047° N,118.4309° W,,
MID CITY NC,"29,150.95",2036.66,9524.56,75.26,771.52,13.08,,146.68,344.6,"28,762.27",3296.2,6568.19,34.0458° N,118.3453° W,,
MID CITY WEST CC,"57,261.16",37457.19,2913.6,112.87,9092.38,127.01,,75.71,2302.19,"56,535.05",5843.1,24429.22,34.0255° N,118.4874° W,,
MID-TOWN NORTH HOLLYWOOD NC,"66,572.96",20991.63,3658.51,60.82,5339,128.09,,242.45,1305.56,"66,307.57",5676.5,19829.71,34.1868° N,118.3750° W,,
MISSION HILLS NC,"22,458.37",3756.69,635.26,30.2,1993.48,37.61,,25.51,319.23,"22,138.70",4234.38,1932.35,34.2700° N,118.4700° W,,
NC VALLEY VILLAGE,"22,747.89",14571.76,1329.03,0,1237.67,38.95,,45.72,727.2,"22,487.17",3603,6902.53,34.1620° N,118.3962° W,,
NC WESTCHESTER/PLAYA,"58,145.15",30895.07,7420.76,143.39,7615.58,107.7,,119.36,2383.39,"54,566.26",12612.31,11986.51,33.9614° N,118.4239° W,,
NOHO WEST NC,"18,849.71",6472.97,521.25,118.18,1763.24,61.08,,65.15,173.54,"18,702.01",2350.86,3081.62,34.1900° N,118.4100° W,,
NORTH HILLS EAST,"40,578.75",2731.65,1169.98,19.9,4449.87,25.99,,0.04,313.78,"40,103.33",2827.14,7416.87,34.2372° N,118.4600° W,,
NORTH HILLS WEST NC,"20,660.24",7547.12,802.21,10.98,3635.03,26.05,,99.11,522.89,"20,569.66",4708.53,1678.25,34.2343° N,118.4842° W,,
NORTH HOLLYWOOD NORTHEAST NC,"35,515.08",5496.02,1314.08,15.59,2873.68,42.63,,71.41,278.77,"35,271.20",3298.31,6614.96,34.0535° N,118.245° W,,
NORTHRIDGE EAST,"25,584.76",11426.37,1923.97,51.61,5424.17,11.99,,73.68,602.38,"23,237.26",4837.79,3415.65,34.2500° N,118.5300° W,,
NORTHRIDGE SOUTH NC,"32,525.30",11298.89,1926.77,5.42,4048.06,77.57,,88.66,713.81,"32,418.19",5294.53,5269.24,34.2323° N,118.5360° W,,
NORTHRIDGE WEST,"21,305.59",10259.33,1352.46,34.28,4237.53,2.78,,15.15,552.58,"21,235.31",4797.84,2674.91,34.2510° N,118.5520° W,,
NORTHWEST SAN PEDRO NC,"20,628.48",11290.92,494.86,24.36,1728.09,41.33,,44.81,804.43,"20,464.48",5740.89,2900.29,33.7540° N,118.3090° W,,
OLYMPIC PARK NC,"18,691.99",2013.43,1979.59,34.29,5510.55,23.69,,25.8,539.08,"18,508.58",1580.4,4961.2,34.0510° N,118.3320° W,,
P.I.C.O. NC,"22,212.03",7663.31,6287.5,38.93,1517.66,33.1,,51.44,836.35,"21,941.37",3642.72,6156.55,34.0535° N,118.3530° W,,
PACOIMA NC,"69,475.97",1561.5,3305.61,19.8,1216.46,13.44,,73.19,189.71,"68,868.13",7718.05,7209.22,34.2661° N,118.4219° W,,What are the boundaries of the Mid-City West CC?
PALMS NC,"26,430.21",9468.92,2578.06,44.51,5082.34,75.31,,101.47,1260.86,"26,038.63",1091.08,11412.47,34.0290° N,118.4060° W,,
PANORAMA CITY NC,"69,984.74",5817.77,1930.47,31.6,9983.38,35.53,,107.5,828.63,"69,421.75",6328.07,11481.21,34.2247° N,118.4489° W,,Provide official websites for Mar Vista CC and Westchester/Playa NC
PARK MESA HEIGHTS CC,"35,241.76",772.75,20732.32,32.78,474.53,34.06,,203.61,894.67,"34,922.73",5432.71,7450.73,33.9870° N,118.3300° W,,
PICO UNION NC,"39,486.37",1129.65,1154.3,92.17,3905.76,168.78,,0.03,113.53,"38,732.91",938.14,10972.95,34.0500° N,118.2800° W,,I'd like to know the geographic center of Valley Village
PORTER RANCH NC,"21,786.70",11165.91,813.18,93.62,6984.29,130.05,,182.02,548.26,"21,754.08",5912.04,1470.36,34.2814° N,118.5714° W,,
RAMPART VILLAGE NC,"23,218.54",1937.99,1137.66,96.55,9573.36,9.97,,25.32,386.36,"23,085.17",857.74,8448.22,34.0700° N,118.2800° W,,
